Gene_ID,Tumor_Mean,Normal_Mean,Log2FC,P_value,T_stat,-log10(P),Significant
50392,6.386905405405405,5.87027027027027,0.10460324854145453,3.875145412276114e-11,6.868193040243905,10.411711996237868,Not Significant
55052,9.719770270270272,10.050783783783782,-0.04387470880567035,3.996904314230611e-11,-6.863068409917298,10.398276248612314,Not Significant
52777,5.12956081081081,4.545337837837837,0.1445083508986409,4.224886370313452e-11,6.8538729960114475,10.37418496704789,Not Significant
39079,8.830986486486488,9.196783783783784,-0.05270608101011387,4.2835529711440624e-11,-6.851585696439445,10.368195858170553,Not Significant
59150,12.821810810810812,12.508560810810812,0.03307265769408785,4.283774838206219e-11,6.851577104869773,10.368173364426184,Not Significant
19672,5.248182432432432,4.897074324324325,0.08343720002782318,4.3178572197706696e-11,6.850262469864295,10.364731722745406,Not Significant
55367,7.875385135135136,7.089472972972971,0.1337640101146529,4.377958370115493e-11,6.847968901330701,10.358728372442615,Not Significant
12294,10.137128378378378,10.405581081081081,-0.03436265665440885,4.4739258127968554e-11,-6.844370034148838,10.349311221705657,Not Significant
41652,12.220006756756758,11.47452027027027,0.08373857896736236,4.576773912569765e-11,6.840596450232864,10.339440540696698,Not Significant
9145,8.730736486486487,9.186243243243242,-0.06600116676306289,4.6122617914023613e-11,-6.839313695324443,10.336086050177263,Not Significant
38441,6.987695945945947,6.555722972972973,0.0802096102442138,4.641081228314549e-11,6.838279100754115,10.333380830482053,Not Significant
40446,6.003527027027027,5.469493243243243,0.1144289467182662,4.792717123641854e-11,6.832937469169424,10.319418203235797,Not Significant
51143,8.055304054054055,7.5723918918918915,0.07906527884815695,4.874649560611981e-11,6.83012001184631,10.312056600347589,Not Significant
2048,16.187459459459458,15.811101351351349,0.03194206716668457,4.91662351853792e-11,6.828694616266928,10.308333045743062,Not Significant
42201,11.543317567567568,12.097047297297298,-0.06232262040094039,5.0633608100373636e-11,-6.823803904760912,10.295561124119175,Not Significant
52793,4.943486486486487,5.756047297297298,-0.1848699547882986,5.144655404634106e-11,-6.82115403440648,10.288643709507545,Not Significant
56868,10.07770945945946,10.466878378378379,-0.049813094934790136,5.2296184431600656e-11,-6.818428228692905,10.281529996424323,Not Significant
53013,9.233959459459461,8.73827027027027,0.07162697742575919,5.2517811664221036e-11,6.817724358617645,10.279693378583197,Not Significant
51814,5.93147972972973,5.3172770270270275,0.13386053216706495,5.2634249039425884e-11,6.817355732321222,10.278731568992995,Not Significant
36113,9.18035810810811,8.224864864864864,0.14218862870313442,5.3535699643358917e-11,6.814528689793096,10.271356517276235,Not Significant
35278,4.774391891891892,3.7872297297297295,0.27047798277647805,5.4039775302812095e-11,6.812968190979341,10.267286465441119,Not Significant
49737,12.897087837837836,12.542452702702702,0.03729354285393338,5.438627461677132e-11,6.811903789116359,10.264510688726478,Not Significant
23684,4.790533783783784,4.267527027027027,0.13657053370711747,5.501360271705833e-11,6.809993569228152,10.259529913150493,Not Significant
26222,6.709358108108108,7.156243243243243,-0.08129405707713477,5.542319107821577e-11,-6.8087578904780415,10.256308472639624,Not Significant
33652,8.547810810810809,9.22781081081081,-0.0992554947346318,5.558433473354967e-11,-6.8082741987896505,10.255047587867137,Not Significant
38607,5.892858108108109,4.951817567567567,0.21177201095550435,5.5977822555376146e-11,6.807098867847872,10.251983998877657,Not Significant
44108,11.998418918918919,11.624472972972972,0.04211298795841367,5.6250408473684883e-11,6.80628941838513,10.249874319488187,Not Significant
41677,8.437885135135135,8.059635135135135,0.059010664295812365,5.77399956241871e-11,6.801933061135803,10.238523253368209,Not Significant
56528,6.236716216216217,5.518175675675676,0.15086696260555676,5.848726164114573e-11,6.79978909783858,10.23293871171891,Not Significant
49345,4.755182432432432,4.250641891891892,0.13236785751587288,5.950926815797158e-11,6.79690008022114,10.225415390634364,Not Significant
35279,4.377459459459458,5.007797297297297,-0.15991139398814225,6.039257115896945e-11,-6.794442179270478,10.219016480304214,Not Significant
55635,8.356493243243245,7.856418918918919,0.07924445289785442,6.136567307128224e-11,6.791774984072845,10.212074497988914,Not Significant
28742,8.72641891891892,9.16270945945946,-0.06330445219796621,6.210543468083729e-11,-6.789775029385815,10.206870394209476,Not Significant
55966,6.143155405405406,6.532452702702703,-0.07655820024406701,6.244539339436526e-11,-6.788863788138298,10.204499594074454,Not Significant
22181,5.6002905405405405,6.081581081081081,-0.10154196962429785,6.268889348366245e-11,-6.788214091639699,10.202809395788424,Not Significant
29175,8.306297297297299,7.789243243243243,0.0824683217126081,6.287770311756314e-11,6.787712023169455,10.201503331179639,Not Significant
18800,9.338851351351352,9.653945945945946,-0.04331195552538114,6.41644114563556e-11,-6.78432946242935,10.192705784915749,Not Significant
40050,6.432898648648648,5.5982702702702705,0.17183706324869652,6.425125500929326e-11,6.784103572078326,10.19211838491048,Not Significant
21537,11.541222972972975,12.09043918918919,-0.06183545985661665,6.436846181271856e-11,-6.783799178736912,10.191326868907852,Not Significant
35009,4.779493243243243,5.261027027027027,-0.11545632884891965,6.492818477771409e-11,-6.78235301652665,10.187566738695734,Not Significant
18433,5.069047297297297,5.57475,-0.11546597416563209,6.548918032199124e-11,-6.780915811194586,10.183830445269228,Not Significant
